sep=,
File............:  30cycle - JAN;12.2023
System..........:  
Temperature.....:  -0.0+-0.0C
Time............:  11:20:46-12:41:18
Slewrate........:  10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
Reference.......:   0.5498549;  1.2776189 PO/PF  0; 3444
Cyclic voltammogram
Lines:   15100
Columns: 8
Number,Time/s,Potential/V,Current/A,TC:K;V=201/C,TC:K;V=201/C,NTC/C,pos_x_fi/m,pos_x_la/m
54,1.696e+01,0.161444,7.219e-07,9.031e+00,8.593e+00,3.861e+01,9.853e-02,4.140e-02
55,1.728e+01,0.164638,7.785e-07,9.031e+00,8.592e+00,3.861e+01,9.853e-02,4.140e-02
56,1.760e+01,0.167832,8.468e-07,9.034e+00,8.595e+00,3.861e+01,9.853e-02,4.140e-02
57,1.792e+01,0.171026,8.997e-07,9.033e+00,8.593e+00,3.861e+01,9.853e-02,4.140e-02
58,1.824e+01,0.174220,9.620e-07,9.034e+00,8.596e+00,3.861e+01,9.853e-02,4.140e-02
59,1.856e+01,0.177414,1.030e-06,9.032e+00,8.594e+00,3.862e+01,9.853e-02,4.140e-02
60,1.888e+01,0.180608,1.075e-06,9.034e+00,8.596e+00,3.861e+01,9.853e-02,4.140e-02
61,1.920e+01,0.183802,1.130e-06,9.031e+00,8.594e+00,3.861e+01,9.853e-02,4.140e-02
62,1.952e+01,0.186997,1.192e-06,9.034e+00,8.595e+00,3.862e+01,9.853e-02,4.140e-02
63,1.984e+01,0.190191,1.240e-06,9.033e+00,8.595e+00,3.862e+01,9.853e-02,4.140e-02
64,2.016e+01,0.193385,1.299e-06,9.033e+00,8.595e+00,3.863e+01,9.853e-02,4.140e-02
65,2.048e+01,0.196579,1.355e-06,9.034e+00,8.596e+00,3.863e+01,9.853e-02,4.140e-02
66,2.080e+01,0.199773,1.407e-06,9.033e+00,8.594e+00,3.863e+01,9.853e-02,4.140e-02
67,2.112e+01,0.202967,1.454e-06,9.034e+00,8.595e+00,3.863e+01,9.853e-02,4.140e-02
68,2.144e+01,0.206321,1.506e-06,9.033e+00,8.594e+00,3.863e+01,9.853e-02,4.140e-02
69,2.176e+01,0.209515,1.561e-06,9.035e+00,8.596e+00,3.863e+01,9.853e-02,4.140e-02
70,2.208e+01,0.212709,1.596e-06,9.036e+00,8.598e+00,3.863e+01,9.853e-02,4.140e-02
71,2.240e+01,0.215903,1.632e-06,9.033e+00,8.595e+00,3.864e+01,9.853e-02,4.140e-02
72,2.272e+01,0.219097,1.685e-06,9.033e+00,8.595e+00,3.863e+01,9.853e-02,4.140e-02
73,2.304e+01,0.222291,1.753e-06,9.035e+00,8.596e+00,3.863e+01,9.853e-02,4.140e-02
74,2.336e+01,0.225485,1.816e-06,9.037e+00,8.597e+00,3.863e+01,9.853e-02,4.140e-02
75,2.368e+01,0.228679,1.886e-06,9.036e+00,8.597e+00,3.864e+01,9.853e-02,4.140e-02
76,2.400e+01,0.231873,1.947e-06,9.034e+00,8.595e+00,3.864e+01,9.853e-02,4.140e-02
77,2.432e+01,0.235067,1.985e-06,9.035e+00,8.596e+00,3.863e+01,9.853e-02,4.140e-02
78,2.464e+01,0.238261,1.986e-06,9.034e+00,8.596e+00,3.863e+01,9.853e-02,4.140e-02
79,2.496e+01,0.241455,1.977e-06,9.035e+00,8.598e+00,3.864e+01,9.853e-02,4.140e-02
80,2.528e+01,0.244649,1.993e-06,9.034e+00,8.595e+00,3.864e+01,9.853e-02,4.140e-02
81,2.560e+01,0.247843,1.985e-06,9.037e+00,8.598e+00,3.864e+01,9.853e-02,4.140e-02
82,2.592e+01,0.251037,1.971e-06,9.034e+00,8.595e+00,3.864e+01,9.853e-02,4.140e-02
